state_name,crop_name,apy_item_interval_start,temperature_recorded_date,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
Andhra Pradesh,potato,2012,24-06-2012,38.8,20.89,0,15.31692,337.152584,0.198465368,178.2225,0.27091975
Andhra Pradesh,potato,2012,25-06-2012,37.97,21.15,0.61,15.31692,337.152584,0.198465368,178.22375,0.270365542
Andhra Pradesh,potato,2012,26-06-2012,35.86,21.01,8.42,15.31692,337.152584,0.198465368,178.225,0.269964651
Andhra Pradesh,potato,2012,27-06-2012,37.11,20.39,3.57,15.31692,337.152584,0.198465368,178.215,0.26947527
Andhra Pradesh,potato,2012,28-06-2012,37.49,20.81,1.54,15.31692,337.152584,0.198465368,178.21125,0.269954032
Andhra Pradesh,potato,2012,29-06-2012,37.78,20.22,0.67,15.31692,337.152584,0.198465368,178.2025,0.269429255
Andhra Pradesh,potato,2012,30-06-2012,38.42,20.4,0.61,15.31692,337.152584,0.198465368,178.19625,0.26926178
Andhra Pradesh,potato,2012,01-07-2012,34.88,20.79,13.31,15.31692,337.152584,0.198465368,178.18125,0.268808908
Andhra Pradesh,potato,2012,02-07-2012,35.71,20.09,6.52,15.31692,337.152584,0.198465368,178.1625,0.268123735
Andhra Pradesh,potato,2012,03-07-2012,35.84,19.9,4.76,15.31692,337.152584,0.198465368,178.145,0.266848958
Andhra Pradesh,potato,2012,04-07-2012,37.48,20.65,0.45,15.31692,337.152584,0.198465368,178.12125,0.265521087
Andhra Pradesh,potato,2012,05-07-2012,38.87,21.12,0.07,15.31692,337.152584,0.198465368,178.09375,0.263682596
Andhra Pradesh,potato,2012,06-07-2012,37.57,20.85,0.81,15.31692,337.152584,0.198465368,178.05125,0.260576408
Andhra Pradesh,potato,2012,07-07-2012,36.33,21.04,0.63,15.31692,337.152584,0.198465368,178.04375,0.260494997
Andhra Pradesh,potato,2012,08-07-2012,36.95,20.72,3.7,15.31692,337.152584,0.198465368,178.02375,0.260356953
Andhra Pradesh,potato,2012,09-07-2012,34.55,21.29,13.56,15.31692,337.152584,0.198465368,178.0125,0.26029324
Andhra Pradesh,potato,2012,10-07-2012,35.65,20.96,10.83,15.31692,337.152584,0.198465368,178.0175,0.260335715
Andhra Pradesh,potato,2012,11-07-2012,37.06,20.52,6.07,15.31692,337.152584,0.198465368,177.99375,0.259022002
Andhra Pradesh,potato,2012,12-07-2012,37.83,20.57,0.37,15.31692,337.152584,0.198465368,177.98625,0.258500765
Andhra Pradesh,potato,2012,13-07-2012,38.13,21.57,0.13,15.31692,337.152584,0.198465368,177.975,0.258437052
Andhra Pradesh,potato,2012,14-07-2012,34.46,21.17,14.61,15.31692,337.152584,0.198465368,177.9525,0.25710918
Andhra Pradesh,potato,2012,15-07-2012,32.08,20.76,4.2,15.31692,337.152584,0.198465368,177.94875,0.257459403
Andhra Pradesh,potato,2012,16-07-2012,34.9,20.23,8.28,15.31692,337.152584,0.198465368,177.94375,0.257188165
Andhra Pradesh,potato,2012,17-07-2012,35.32,20.03,14.61,15.31692,337.152584,0.198465368,177.9025,0.253985294
Andhra Pradesh,potato,2012,18-07-2012,32.93,19.67,6.59,15.31692,337.152584,0.198465368,177.900625,0.253353215
Andhra Pradesh,potato,2012,19-07-2012,33.46,20.61,1.77,15.31692,337.152584,0.198465368,177.89875,0.252863834
Andhra Pradesh,potato,2012,20-07-2012,32.85,20.67,2.47,15.31692,337.152584,0.198465368,177.89375,0.252228215
Andhra Pradesh,potato,2012,21-07-2012,30.89,20.65,8.71,15.31692,337.152584,0.198465368,177.90125,0.25214569
Andhra Pradesh,potato,2012,22-07-2012,34.64,19.96,3.52,15.31692,337.152584,0.198465368,177.90375,0.252166928
Andhra Pradesh,potato,2012,23-07-2012,36.28,20.8,2.77,15.31692,337.152584,0.198465368,177.925,0.252205863
Andhra Pradesh,potato,2012,24-07-2012,35.58,20.45,3.98,15.31692,337.152584,0.198465368,177.94,0.252078636
Andhra Pradesh,potato,2012,25-07-2012,34.77,20.78,1.74,15.31692,337.152584,0.198465368,177.98,0.25236069
Andhra Pradesh,potato,2012,26-07-2012,34.08,20.83,3.2,15.31692,337.152584,0.198465368,177.92125,0.243557795
Andhra Pradesh,potato,2012,27-07-2012,34.54,19.97,7.3,15.31692,337.152584,0.198465368,177.94375,0.243246532
Andhra Pradesh,potato,2012,28-07-2012,34.72,20.83,4.87,15.31692,337.152584,0.198465368,177.96875,0.243591619
Andhra Pradesh,potato,2012,29-07-2012,35.11,20.73,6.73,15.31692,337.152584,0.198465368,177.98375,0.243987374
Andhra Pradesh,potato,2012,30-07-2012,35.7,20.16,6.4,15.31692,337.152584,0.198465368,177.99375,0.244483352
Andhra Pradesh,potato,2012,31-07-2012,34.5,20.5,1.94,15.31692,337.152584,0.198465368,178.00375,0.24470183
Andhra Pradesh,potato,2012,01-08-2012,35.74,20.1,3.24,15.31692,337.152584,0.198465368,168.5208738,0.220194878
Andhra Pradesh,potato,2012,02-08-2012,36.41,20.01,1.36,15.31692,337.152584,0.198465368,168.8519849,0.219774416
Andhra Pradesh,potato,2012,03-08-2012,33.38,20.17,7.35,15.31692,337.152584,0.198465368,168.5091804,0.219328783
Andhra Pradesh,potato,2012,04-08-2012,34.26,20.66,11.74,15.31692,337.152584,0.198465368,168.5102916,0.219241654
